"Canton";"Vehicle group / type";"Year of first registration";"Fuel";"2021"
"Obwalden";"> Passenger cars";"2021";"Electricity";76
"Obwalden";"> Passenger cars";"Unknown";"Electricity";0
"Obwalden";"> Motorcycles";"Before 1960";"Electricity";0
"Obwalden";"> Motorcycles";"1960 - 1979";"Electricity";0
"Obwalden";"> Motorcycles";"1980 - 1989";"Electricity";0
"Obwalden";"> Motorcycles";"1990 - 1999";"Electricity";1
"Obwalden";"> Motorcycles";"2000 - 2004";"Electricity";0
"Obwalden";"> Motorcycles";"2005 - 2009";"Electricity";1
"Obwalden";"> Motorcycles";"2010 - 2014";"Electricity";18
"Obwalden";"> Motorcycles";"2015";"Electricity";0
"Obwalden";"> Motorcycles";"2016";"Electricity";5
"Obwalden";"> Motorcycles";"2017";"Electricity";4
"Obwalden";"> Motorcycles";"2018";"Electricity";3
"Obwalden";"> Motorcycles";"2019";"Electricity";6
"Obwalden";"> Motorcycles";"2020";"Electricity";2
"Obwalden";"> Motorcycles";"2021";"Electricity";16
"Obwalden";"> Motorcycles";"Unknown";"Electricity";0
"Nidwalden";"> Passenger cars";"Before 1960";"Electricity";0
"Nidwalden";"> Passenger cars";"1960 - 1979";"Electricity";0
"Nidwalden";"> Passenger cars";"1980 - 1989";"Electricity";0
"Nidwalden";"> Passenger cars";"1990 - 1999";"Electricity";0
"Nidwalden";"> Passenger cars";"2000 - 2004";"Electricity";0
"Nidwalden";"> Passenger cars";"2005 - 2009";"Electricity";0
"Nidwalden";"> Passenger cars";"2010 - 2014";"Electricity";24
"Nidwalden";"> Passenger cars";"2015";"Electricity";33
"Nidwalden";"> Passenger cars";"2016";"Electricity";22
"Nidwalden";"> Passenger cars";"2017";"Electricity";35
"Nidwalden";"> Passenger cars";"2018";"Electricity";32
"Nidwalden";"> Passenger cars";"2019";"Electricity";66
"Nidwalden";"> Passenger cars";"2020";"Electricity";98
"Nidwalden";"> Passenger cars";"2021";"Electricity";121
"Nidwalden";"> Passenger cars";"Unknown";"Electricity";0
"Nidwalden";"> Motorcycles";"Before 1960";"Electricity";0
"Nidwalden";"> Motorcycles";"1960 - 1979";"Electricity";0
"Nidwalden";"> Motorcycles";"1980 - 1989";"Electricity";0
"Nidwalden";"> Motorcycles";"1990 - 1999";"Electricity";0
"Nidwalden";"> Motorcycles";"2000 - 2004";"Electricity";1
"Nidwalden";"> Motorcycles";"2005 - 2009";"Electricity";2
"Nidwalden";"> Motorcycles";"2010 - 2014";"Electricity";13
"Nidwalden";"> Motorcycles";"2015";"Electricity";1
"Nidwalden";"> Motorcycles";"2016";"Electricity";1
"Nidwalden";"> Motorcycles";"2017";"Electricity";3
"Nidwalden";"> Motorcycles";"2018";"Electricity";11
"Nidwalden";"> Motorcycles";"2019";"Electricity";16
"Nidwalden";"> Motorcycles";"2020";"Electricity";26
"Nidwalden";"> Motorcycles";"2021";"Electricity";13
"Nidwalden";"> Motorcycles";"Unknown";"Electricity";0
"Glarus";"> Passenger cars";"Before 1960";"Electricity";0
"Glarus";"> Passenger cars";"1960 - 1979";"Electricity";0
"Glarus";"> Passenger cars";"1980 - 1989";"Electricity";0
"Glarus";"> Passenger cars";"1990 - 1999";"Electricity";2
"Glarus";"> Passenger cars";"2000 - 2004";"Electricity";1
"Glarus";"> Passenger cars";"2005 - 2009";"Electricity";0
"Glarus";"> Passenger cars";"2010 - 2014";"Electricity";19
"Glarus";"> Passenger cars";"2015";"Electricity";14
"Glarus";"> Passenger cars";"2016";"Electricity";10
"Glarus";"> Passenger cars";"2017";"Electricity";18
"Glarus";"> Passenger cars";"2018";"Electricity";20
"Glarus";"> Passenger cars";"2019";"Electricity";49
"Glarus";"> Passenger cars";"2020";"Electricity";70
"Glarus";"> Passenger cars";"2021";"Electricity";79
"Glarus";"> Passenger cars";"Unknown";"Electricity";0
"Glarus";"> Motorcycles";"Before 1960";"Electricity";0
"Glarus";"> Motorcycles";"1960 - 1979";"Electricity";0
"Glarus";"> Motorcycles";"1980 - 1989";"Electricity";0
"Glarus";"> Motorcycles";"1990 - 1999";"Electricity";0
"Glarus";"> Motorcycles";"2000 - 2004";"Electricity";2
"Glarus";"> Motorcycles";"2005 - 2009";"Electricity";0
"Glarus";"> Motorcycles";"2010 - 2014";"Electricity";26
"Glarus";"> Motorcycles";"2015";"Electricity";1
"Glarus";"> Motorcycles";"2016";"Electricity";3
"Glarus";"> Motorcycles";"2017";"Electricity";3
"Glarus";"> Motorcycles";"2018";"Electricity";3
"Glarus";"> Motorcycles";"2019";"Electricity";7
"Glarus";"> Motorcycles";"2020";"Electricity";4
"Glarus";"> Motorcycles";"2021";"Electricity";11
"Glarus";"> Motorcycles";"Unknown";"Electricity";0
"Zug";"> Passenger cars";"Before 1960";"Electricity";0
"Zug";"> Passenger cars";"1960 - 1979";"Electricity";0
"Zug";"> Passenger cars";"1980 - 1989";"Electricity";0
"Zug";"> Passenger cars";"1990 - 1999";"Electricity";0
"Zug";"> Passenger cars";"2000 - 2004";"Electricity";0
"Zug";"> Passenger cars";"2005 - 2009";"Electricity";0
"Zug";"> Passenger cars";"2010 - 2014";"Electricity";72
"Zug";"> Passenger cars";"2015";"Electricity";95
"Zug";"> Passenger cars";"2016";"Electricity";92
"Zug";"> Passenger cars";"2017";"Electricity";141
"Zug";"> Passenger cars";"2018";"Electricity";172
"Zug";"> Passenger cars";"2019";"Electricity";509
"Zug";"> Passenger cars";"2020";"Electricity";749
"Zug";"> Passenger cars";"2021";"Electricity";976
"Zug";"> Passenger cars";"Unknown";"Electricity";0
"Zug";"> Motorcycles";"Before 1960";"Electricity";0
"Zug";"> Motorcycles";"1960 - 1979";"Electricity";0
"Zug";"> Motorcycles";"1980 - 1989";"Electricity";0
"Zug";"> Motorcycles";"1990 - 1999";"Electricity";5
"Zug";"> Motorcycles";"2000 - 2004";"Electricity";0
"Zug";"> Motorcycles";"2005 - 2009";"Electricity";3
"Zug";"> Motorcycles";"2010 - 2014";"Electricity";35
"Zug";"> Motorcycles";"2015";"Electricity";13
"Zug";"> Motorcycles";"2016";"Electricity";14
"Zug";"> Motorcycles";"2017";"Electricity";12
"Zug";"> Motorcycles";"2018";"Electricity";15
"Zug";"> Motorcycles";"2019";"Electricity";38
"Zug";"> Motorcycles";"2020";"Electricity";33
"Zug";"> Motorcycles";"2021";"Electricity";39
"Zug";"> Motorcycles";"Unknown";"Electricity";0
"Fribourg";"> Passenger cars";"Before 1960";"Electricity";0
"Fribourg";"> Passenger cars";"1960 - 1979";"Electricity";0
"Fribourg";"> Passenger cars";"1980 - 1989";"Electricity";1
"Fribourg";"> Passenger cars";"1990 - 1999";"Electricity";0
"Fribourg";"> Passenger cars";"2000 - 2004";"Electricity";2
"Fribourg";"> Passenger cars";"2005 - 2009";"Electricity";0
"Fribourg";"> Passenger cars";"2010 - 2014";"Electricity";122
"Fribourg";"> Passenger cars";"2015";"Electricity";95
"Fribourg";"> Passenger cars";"2016";"Electricity";96
"Fribourg";"> Passenger cars";"2017";"Electricity";147
"Fribourg";"> Passenger cars";"2018";"Electricity";174
"Fribourg";"> Passenger cars";"2019";"Electricity";472
"Fribourg";"> Passenger cars";"2020";"Electricity";619
"Fribourg";"> Passenger cars";"2021";"Electricity";773
"Fribourg";"> Passenger cars";"Unknown";"Electricity";0
"Fribourg";"> Motorcycles";"Before 1960";"Electricity";0
"Fribourg";"> Motorcycles";"1960 - 1979";"Electricity";0
"Fribourg";"> Motorcycles";"1980 - 1989";"Electricity";0
"Fribourg";"> Motorcycles";"1990 - 1999";"Electricity";5
"Fribourg";"> Motorcycles";"2000 - 2004";"Electricity";2
"Fribourg";"> Motorcycles";"2005 - 2009";"Electricity";3
"Fribourg";"> Motorcycles";"2010 - 2014";"Electricity";59
"Fribourg";"> Motorcycles";"2015";"Electricity";8
"Fribourg";"> Motorcycles";"2016";"Electricity";20
"Fribourg";"> Motorcycles";"2017";"Electricity";15
"Fribourg";"> Motorcycles";"2018";"Electricity";6
"Fribourg";"> Motorcycles";"2019";"Electricity";37
"Fribourg";"> Motorcycles";"2020";"Electricity";38
"Fribourg";"> Motorcycles";"2021";"Electricity";58
"Fribourg";"> Motorcycles";"Unknown";"Electricity";0
"Solothurn";"> Passenger cars";"Before 1960";"Electricity";0
"Solothurn";"> Passenger cars";"1960 - 1979";"Electricity";0
"Solothurn";"> Passenger cars";"1980 - 1989";"Electricity";0
"Solothurn";"> Passenger cars";"1990 - 1999";"Electricity";1
"Solothurn";"> Passenger cars";"2000 - 2004";"Electricity";0
"Solothurn";"> Passenger cars";"2005 - 2009";"Electricity";0
"Solothurn";"> Passenger cars";"2010 - 2014";"Electricity";134
"Solothurn";"> Passenger cars";"2015";"Electricity";100
"Solothurn";"> Passenger cars";"2016";"Electricity";87
"Solothurn";"> Passenger cars";"2017";"Electricity";138
"Solothurn";"> Passenger cars";"2018";"Electricity";142
"Solothurn";"> Passenger cars";"2019";"Electricity";422
"Solothurn";"> Passenger cars";"2020";"Electricity";511
"Solothurn";"> Passenger cars";"2021";"Electricity";531
"Solothurn";"> Passenger cars";"Unknown";"Electricity";0
"Solothurn";"> Motorcycles";"Before 1960";"Electricity";0
"Solothurn";"> Motorcycles";"1960 - 1979";"Electricity";0
"Solothurn";"> Motorcycles";"1980 - 1989";"Electricity";1
"Solothurn";"> Motorcycles";"1990 - 1999";"Electricity";7
